task_id,model,trajectory_id,passed,n_states,quality_score,quality_tier,verdict,coverage_percent,precision_percent,f1_score,coherence_score,temporal_profile_score,workflow_similarity,stage_completeness,bottleneck_coverage,weighted_score,stage_coverage_E,stage_coverage_I,stage_coverage_V,stage_coverage_O,regression_loop_count,regression_loop_waste,blind_retry_count,blind_retry_waste,redundant_step_count,redundant_step_waste,unnecessary_exploration_count,unnecessary_exploration_waste,cyclic_pattern_count,cyclic_pattern_waste,total_wasted_steps,waste_severity,wasted_input_tokens,wasted_output_tokens,divergence_step,divergence_fraction,stage_order_match,failure_reasons,strengths
astropy__astropy-13236,opus-4.5,astropy__astropy-13236-logs-opus-4.5-pass-25081007860_pta,True,50,65,solid,UNCERTAIN,50.0,72.54901960784314,59.2,0.4786641929499072,0.9101747035313394,0.589041095890411,1.0,43.47826086956522,50.672645739910315,43.47826086956522,100.0,48.717948717948715,55.55555555555556,1,31,0,0,2,2,0,0,1,3,36,0.72,576083,3052,5,0.1,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 5 of 74 ground-truth steps (5% through)"", ""severity"": ""critical""}]","[""Strong implementation phase (100% covered)""]"
astropy__astropy-13236,opus-4.5,astropy__astropy-13236-logs-opus-4.5-pass-25081012020_pta,True,66,69,solid,UNCERTAIN,59.45945945945946,65.67164179104478,62.411347517730505,0.4676923076923077,0.9669246658899222,0.684931506849315,1.0,50.0,59.64125560538116,56.52173913043478,50.0,61.53846153846154,55.55555555555556,0,0,0,0,3,3,0,0,1,2,5,0.0758,935225,3535,9,0.1364,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 9 of 74 ground-truth steps (11% through)"", ""severity"": ""critical""}]",
astropy__astropy-13236,sonnet-4.5,astropy__astropy-13236-logs-sonnet-4.5-pass-24932719213_pta,True,100,72,ideal,PASS,77.02702702702703,56.43564356435643,65.14285714285714,0.4271284271284271,0.9293818407308588,0.59,1.0,50.0,75.33632286995515,86.95652173913044,50.0,74.35897435897436,66.66666666666666,1,17,1,1,3,3,0,0,3,6,27,0.27,1533836,4880,3,0.03,True,,"[""Strong exploration phase (87% covered)""]"
astropy__astropy-13236,gemini-2.5-pro,astropy__astropy-13236-logs-gemini-2.5-pro-fail-24943628310_pta,False,6,40,partial_fail,FAIL,10.869565217391305,71.42857142857143,18.867924528301888,1.0,0.5897292827802805,0.13333333333333333,0.5,0.0,8.823529411764707,16.666666666666664,50.0,0.0,0.0,0,0,0,0,2,2,0,0,0,0,2,0.3333,39807,396,2,0.3333,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 2 of 46 ground-truth steps (2% through)"", ""severity"": ""critical""}, {""reason"": ""missing_verification"", ""detail"": ""Verification coverage is 0% (0/21 steps). Agent may not have tested its changes."", ""severity"": ""high""}]","[""Clean forward progression (high coherence)""]"
astropy__astropy-13236,gemini-2.5-pro,astropy__astropy-13236-logs-gemini-2.5-pro-fail-24944252850_pta,False,9,44,partial_fail,FAIL,9.45945945945946,70.0,16.666666666666668,1.0,0.558957477368174,0.1095890410958904,0.75,0.0,8.071748878923767,17.391304347826086,50.0,2.564102564102564,0.0,0,0,0,0,1,1,0,0,0,0,1,0.1111,39917,169,2,0.2222,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 2 of 74 ground-truth steps (1% through)"", ""severity"": ""critical""}, {""reason"": ""missing_verification"", ""detail"": ""Verification coverage is 3% (1/39 steps). Agent may not have tested its changes."", ""severity"": ""high""}]","[""Clean forward progression (high coherence)""]"
astropy__astropy-13236,gemini-2.5-pro,astropy__astropy-13236-logs-gemini-2.5-pro-fail-24945658058_pta,False,21,35,off_track,FAIL,13.513513513513514,45.45454545454545,20.833333333333332,0.51,0.7665195867281996,0.2465753424657534,0.75,0.0,11.659192825112108,26.08695652173913,50.0,5.128205128205128,0.0,0,0,0,0,1,1,0,0,1,3,4,0.1905,261295,1996,2,0.0952,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 2 of 74 ground-truth steps (1% through)"", ""severity"": ""critical""}, {""reason"": ""missing_verification"", ""detail"": ""Verification coverage is 5% (2/39 steps). Agent may not have tested its changes."", ""severity"": ""high""}]",
astropy__astropy-13236,gemini-2.5-pro,astropy__astropy-13236-logs-gemini-2.5-pro-fail-24945658083_pta,False,30,23,off_track,FAIL,8.108108108108109,19.35483870967742,11.428571428571429,0.3349753694581281,0.4799724850618957,0.2054794520547945,0.5,0.0,6.278026905829597,17.391304347826086,50.0,0.0,0.0,1,4,2,11,2,2,0,0,1,2,19,0.6333,298769,4195,2,0.0667,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 2 of 74 ground-truth steps (1% through)"", ""severity"": ""critical""}, {""reason"": ""missing_verification"", ""detail"": ""Verification coverage is 0% (0/39 steps). Agent may not have tested its changes."", ""severity"": ""high""}, {""reason"": ""trajectory_thrashing"", ""detail"": ""Coherence score is 0.33 \u2014 agent appears to backtrack heavily between stages"", ""severity"": ""medium""}]",
astropy__astropy-13236,gemini-2.5-pro,astropy__astropy-13236-logs-gemini-2.5-pro-fail-24962858941_pta,False,20,38,off_track,FAIL,13.513513513513514,47.61904761904761,21.05263157894737,0.6507177033492824,0.7219104658156172,0.2054794520547945,0.75,0.0,12.556053811659194,21.73913043478261,50.0,7.6923076923076925,0.0,2,4,0,0,0,0,0,0,0,0,4,0.2,147159,391,2,0.1,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 2 of 74 ground-truth steps (1% through)"", ""severity"": ""critical""}, {""reason"": ""missing_verification"", ""detail"": ""Verification coverage is 8% (3/39 steps). Agent may not have tested its changes."", ""severity"": ""high""}]",
astropy__astropy-13236,gpt-4.1,astropy__astropy-13236-logs-gpt-4.1-fail-24923087457_pta,False,43,26,off_track,FAIL,9.45945945945946,15.909090909090908,11.864406779661019,0.17460317460317457,0.6750240625219213,0.3424657534246575,0.75,0.0,6.726457399103139,17.391304347826086,50.0,0.0,11.11111111111111,0,0,0,0,1,1,0,0,0,0,1,0.0233,389885,1240,2,0.0465,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 2 of 74 ground-truth steps (1% through)"", ""severity"": ""critical""}, {""reason"": ""missing_verification"", ""detail"": ""Verification coverage is 0% (0/39 steps). Agent may not have tested its changes."", ""severity"": ""high""}, {""reason"": ""trajectory_thrashing"", ""detail"": ""Coherence score is 0.17 \u2014 agent appears to backtrack heavily between stages"", ""severity"": ""medium""}]",
astropy__astropy-13236,gpt-4.1,astropy__astropy-13236-logs-gpt-4.1-fail-24923087489_pta,False,16,34,off_track,FAIL,10.81081081081081,47.05882352941176,17.58241758241758,0.37333333333333335,0.6457227927096902,0.2191780821917808,1.0,2.564102564102564,8.520179372197308,17.391304347826086,50.0,2.564102564102564,11.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0.0,34277,243,2,0.125,True,"[{""reason"": ""early_divergence"", ""detail"": ""Diverged at step 2 of 74 ground-truth steps (1% through)"", ""severity"": ""critical""}, {""reason"": ""missing_verification"", ""detail"": ""Verification coverage is 3% (1/39 steps). Agent may not have tested its changes."", ""severity"": ""high""}]",
